CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,72,-1,2,-,"12,850.00",900.00,100,"12,799.30","13,004.75",100,"17,500.00",500,2.70,3.05,225,-1.20,3.10,143.81,694,-109,799,
,-,-,-,-,-,-,350,"12,099.10","13,744.45","2,400","17,600.00","1,000",1.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"12,003.80","13,633.90","2,400","17,700.00","1,000",0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"11,917.40","13,522.50","2,400","17,800.00","1,000",0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"11,817.80","13,417.35","2,400","17,900.00","1,000",0.20,-,-,-,-,-,-,-,-,
,98,-2,5,-,"12,600.00","1,185.15",400,"12,078.65","12,753.75",25,"18,000.00","1,000",1.55,3.75,50,-0.20,3.70,-,6,-2,91,
,-,-,-,-,-,-,350,"11,627.45","12,891.65",500,"18,100.00","1,000",0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"11,528.65","12,779.15",500,"18,200.00","1,000",0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","11,428.50","12,984.90",500,"18,300.00","1,000",0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"11,354.95","12,874.30","2,400","18,400.00","1,000",0.15,-,-,-,-,-,-,-,-,
,1,-,-,-,"11,000.00",-,350,"11,601.85","12,247.35",50,"18,500.00","2,000",1.05,5.80,"1,000",-,3.05,-,-,-,6,
,-,-,-,-,-,-,350,"11,161.20","12,360.60",500,"18,600.00","1,000",0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"11,067.70","12,542.15","2,400","18,700.00","1,000",0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"10,961.65","12,436.70","2,400","18,800.00","1,000",0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"10,873.80","12,331.25","2,400","18,900.00","1,000",0.15,-,-,-,-,-,-,-,-,
,1,-,-,-,"7,165.35",-,500,"11,086.45","11,755.45",500,"19,000.00","2,000",1.20,-,-,-,3.05,-,-,-,3,
,-,-,-,-,-,-,"2,400","10,673.05","12,108.75","2,400","19,100.00","1,000",0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,125,"10,580.15","11,998.25",500,"19,200.00","1,000",0.20,-,-,-,3.05,-,-,-,2,
,-,-,-,-,-,-,350,"10,481.35","11,605.85",500,"19,300.00","1,000",0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"10,394.40","11,780.85","2,400","19,400.00","1,000",0.20,-,-,-,-,-,-,-,-,
,2,-,-,-,"10,817.10",-,500,"10,701.50","11,245.15",500,"19,500.00","2,475",1.30,-,-,-1.75,1.30,-,1,-,4,
,-,-,-,-,-,-,350,"10,202.55","11,287.85",500,"19,600.00","1,000",0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"10,107.15","11,449.80","2,400","19,700.00","1,000",0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","10,002.45","11,078.85",500,"19,800.00","1,000",0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","9,905.70","10,962.40",500,"19,900.00","1,000",0.15,-,-,-,-,-,-,-,-,
,218,-33,71,-,"10,445.90","1,144.15",100,"10,317.55","10,462.60",100,"20,000.00",50,3.65,4.00,50,-3.25,4.00,114.91,457,15,"1,133",
,-,-,-,-,-,-,"2,400","9,712.85","11,010.55","2,400","20,100.00","1,000",0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","9,617.80","10,903.00","2,400","20,200.00","1,000",0.15,-,-,-,3.50,-,-,-,1,
,-,-,-,-,-,-,350,"9,538.90","10,791.50","2,400","20,300.00","1,000",0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"9,440.55","10,680.35","2,400","20,400.00","1,000",0.20,-,-,-,-,-,-,-,-,
,23,-,2,-,"9,910.50",819.20,350,"9,646.50","10,109.55",25,"20,500.00",25,1.65,-,-,-5.65,1.65,-,2,2,32,
,-,-,-,-,-,-,400,"9,231.00","10,223.05",500,"20,600.00","1,000",0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","9,152.30","10,107.75",500,"20,700.00","1,000",0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"9,053.60","9,998.15",500,"20,800.00","1,000",0.20,-,-,-,-,-,-,-,-,
,1,-,-,-,"8,910.00",-,"2,400","8,954.40","9,906.60",500,"20,900.00",25,1.00,3.80,375,-1.40,3.80,-,2,2,3,
,91,-,-,-,"8,675.00",-,50,"9,183.75","9,434.50",125,"21,000.00",225,2.30,3.45,75,-2.95,2.30,95.62,248,-134,723,
,-,-,-,-,-,-,"2,400","8,746.60","9,678.50",500,"21,100.00","1,000",0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"8,696.60","9,808.55","2,400","21,200.00","1,000",0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"8,602.30","9,466.55",500,"21,300.00",25,3.05,-,-,-,3.25,-,-,-,1,
,-,-,-,-,-,-,350,"8,516.40","9,593.20","2,400","21,400.00","1,000",0.15,-,-,-,-,-,-,-,-,
,128,13,61,-,"8,900.00","1,094.80",500,"8,850.00","8,953.85",50,"21,500.00",25,3.00,4.50,50,-2.65,4.95,-,60,12,146,
,-,-,-,-,-,-,125,"8,322.85","9,150.65",500,"21,600.00","1,000",0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,125,"8,221.35","9,046.35",500,"21,700.00","1,000",0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"8,134.90","9,153.60","2,400","21,800.00","1,000",0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,125,"8,030.35","8,829.65",500,"21,900.00","1,000",0.20,-,-,-,-,-,-,-,-,
,420,-4,4,-,"8,375.00",725.00,25,"8,360.00","8,510.25",25,"22,000.00",-,-,4.90,25,-4.15,4.00,90.98,452,-186,631,
,-,-,-,-,-,-,350,"7,863.35","8,612.85",500,"22,100.00","1,000",0.15,-,-,-,-,-,-,-,-,
,15,-,-,-,"7,000.00",-,350,"7,755.70","8,500.90",500,"22,200.00","1,000",0.20,-,-,-,18.00,-,-,-,15,
,-,-,-,-,-,-,350,"7,656.50","8,400.00",500,"22,300.00","1,000",0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"7,560.00","8,753.40","2,400","22,400.00","1,000",0.15,-,-,-,25.00,-,-,-,1,
,56,-,2,-,"7,797.70",-179.95,25,"7,838.50","7,947.80",25,"22,500.00",200,3.25,5.45,400,1.65,5.50,-,27,-,124,
,-,-,-,-,-,-,350,"7,363.60","8,541.30","2,400","22,600.00","1,000",0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,125,"7,255.45","8,429.45","2,400","22,700.00","1,000",0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,"7,172.75","8,313.45","2,400","22,800.00","1,000",0.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"7,077.50","7,950.15",500,"22,900.00","1,000",0.15,-,-,-,-,-,-,-,-,
,261,-2,9,-,"7,463.50",554.65,50,"7,368.95","7,431.80",25,"23,000.00",25,3.55,4.00,150,-4.85,4.00,-,258,-49,815,
,-,-,-,-,-,-,350,"6,911.15","7,731.15",500,"23,100.00","1,000",0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"6,813.95","7,621.80",500,"23,200.00","1,000",0.25,-,-,-,-,-,-,-,-,
,1,-,-,-,"6,500.00",-,150,"6,720.00","7,757.85","2,400","23,300.00","1,000",2.15,-,-,-,2.00,-,-,-,1,
,-,-,-,-,-,-,350,"6,621.85","7,400.50",500,"23,400.00","1,000",0.20,-,-,-,-,-,-,-,-,
,67,-,-,-,"6,120.00",-,50,"6,701.90","7,021.90",50,"23,500.00",200,3.40,4.00,50,-4.75,4.00,76.97,55,-17,268,
,-,-,-,-,-,-,125,"6,416.55","7,182.35",500,"23,600.00","1,000",0.20,-,-,-,85.00,-,-,-,3,
,-,-,-,-,-,-,500,"6,555.30","7,070.60",500,"23,700.00","1,000",0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,500,"6,438.80","6,964.90",500,"23,800.00","1,000",0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"6,254.55","6,856.35",500,"23,900.00","1,000",0.25,-,-,-,-,-,-,-,-,
,495,-7,9,-,"6,389.15",473.45,25,"6,383.15","6,433.65",50,"24,000.00",25,5.00,5.80,175,-3.45,5.80,69.11,745,-72,"1,223",
,-,-,-,-,-,-,350,"5,982.10","6,720.00","2,400","24,100.00","1,000",1.40,-,-,-,6.00,-,-,-,47,
,1,-,-,-,"5,090.00",-,150,"5,890.00","6,943.00","2,400","24,200.00","1,000",0.20,-,-,-,-,-,-,-,-,
,1,-,-,-,"1,530.00",-,150,"5,778.20","6,829.40","2,400","24,300.00","1,000",0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","5,348.50","6,287.10",500,"24,400.00","1,000",0.20,-,-,-,-,-,-,-,-,
,153,-,-,-,"5,004.95",-,50,"5,864.30","5,934.65",25,"24,500.00",600,4.15,5.85,250,-4.15,5.00,63.50,399,-45,485,
,1,-,-,-,"4,624.00",-,625,"5,074.70","6,076.30",500,"24,600.00","1,000",1.10,-,-,-,-,-,-,-,-,
,2,-,-,-,"4,530.00",-,625,"5,248.25","5,973.45",500,"24,700.00","1,000",1.10,-,-,-,350.00,-,-,-,23,
