CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,125,"10,612.70","10,784.40",125,"20,100.00","2,000",1.15,1.20,275,-0.15,1.20,157.84,"12,013","1,625","2,570",
,-,-,-,-,-,-,"2,400","9,973.90","11,322.70","2,400","20,200.00",25,0.70,2.60,500,-0.30,2.65,-,1,1,1,
,-,-,-,-,-,-,"2,400","9,865.05","11,233.95","2,400","20,300.00","1,500",0.80,2.15,300,-,-,-,-,-,-,
,-,-,-,-,-,-,500,"9,774.10","11,106.70","2,400","20,400.00","1,500",0.65,2.20,300,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,900","9,669.70","10,977.70","2,400","20,500.00","1,525",1.15,1.30,400,-0.10,1.20,154.07,"1,941",610,881,
,-,-,-,-,-,-,500,"9,591.30","10,909.70","2,400","20,600.00","1,000",0.20,2.55,300,-,-,-,-,-,-,
,-,-,-,-,-,-,500,"9,502.90","10,793.45","2,400","20,700.00","1,000",0.20,2.65,300,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","9,146.20","10,692.00","2,400","20,800.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","9,304.15","10,565.80","2,400","20,900.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","9,197.50","10,475.65","2,400","21,000.00",25,1.15,1.35,475,-1.25,1.25,147.06,"3,342",863,891,
,-,-,-,-,-,-,"2,400","9,109.15","10,388.00","2,400","21,100.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","9,031.00","10,248.05","2,400","21,200.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","8,920.35","10,161.45","2,400","21,300.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,500,"8,819.50","10,044.85","2,400","21,400.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,500,"8,739.60","9,944.50","2,400","21,500.00",25,1.25,1.85,25,-1.20,1.75,141.44,5,1,2,
,-,-,-,-,-,-,"2,400","8,621.25","9,839.15","2,400","21,600.00","2,475",0.10,3.00,500,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","8,513.65","9,750.70","2,400","21,700.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,500,"8,415.80","9,625.05","2,400","21,800.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","8,354.95","9,543.20","2,400","21,900.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","8,237.20","9,426.30","2,400","22,000.00","1,500",1.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,500,"8,205.50","11,774.70","2,400","22,100.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"8,241.45","11,025.40",625,"22,200.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"8,142.95","10,930.65",625,"22,300.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"8,036.00","10,815.25",625,"22,400.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"7,948.60","10,722.50",625,"22,500.00","1,500",1.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"7,843.20","8,554.00",625,"22,600.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"7,747.05","8,450.55",625,"22,700.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"7,650.85","8,349.60",625,"22,800.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"7,545.65","8,241.85",625,"22,900.00","2,475",0.10,-,-,-,-,-,-,-,-,
,3,-,-,-,-,-,625,"7,467.75","8,134.55",625,"23,000.00","1,375",1.25,1.55,400,-0.40,1.40,111.14,443,50,261,
,-,-,-,-,-,-,625,"7,366.35","8,031.35",625,"23,100.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"7,263.85","7,927.25",625,"23,200.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"7,169.00","7,823.55",625,"23,300.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"7,066.80","7,717.45",625,"23,400.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"6,960.50","7,615.25",625,"23,500.00",600,1.60,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"6,871.50","7,507.75",625,"23,600.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"6,773.65","7,407.25",625,"23,700.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"6,674.80","7,301.35",625,"23,800.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"6,577.55","7,194.65",625,"23,900.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"6,465.25","7,090.45",625,"24,000.00",500,1.50,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"6,384.80","7,027.20",625,"24,100.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"6,294.45","6,884.20",625,"24,200.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"6,196.35","6,779.40",625,"24,300.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"6,099.70","6,705.55",625,"24,400.00","2,475",0.10,-,-,-,-,-,-,-,-,
,42,-,-,-,-,-,625,"6,191.00","6,394.25",625,"24,500.00",25,1.50,1.65,"2,050",-0.40,1.55,90.80,188,-15,180,
,-,-,-,-,-,-,625,"5,901.15","6,462.10",625,"24,600.00","4,975",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"5,806.15","6,356.20",625,"24,700.00","4,975",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"5,712.80","6,255.35",625,"24,800.00","2,500",0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"5,617.45","6,147.90",625,"24,900.00","2,475",0.10,-,-,-,-,-,-,-,-,
,8,-,-,-,-,-,625,"5,689.95","5,894.35",625,"25,000.00",25,1.80,2.00,50,-0.40,2.00,85.60,"3,569",52,408,
,-,-,-,-,-,-,625,"5,416.75","5,940.05",625,"25,100.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"5,326.60","5,834.25",625,"25,200.00",250,0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"5,226.30","5,730.05",625,"25,300.00",250,0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,625,"5,131.60","5,623.75",625,"25,400.00",250,0.15,-,-,-,-,-,-,-,-,
